NmZ,N,Z,A,El,Mass_Excess,Binding_Energy,Beta_decay_Energy,AMU
13,50,37,87,Rb,-84597.802,8710.9843,282.27490234375,909180.529
11,49,38,87,Sr,-84880.07643,8705.2363,-1861.689453125,908877.49454
9,48,39,87,Y,-83018.387,8674.8451,-3671.240478515625,910876.1
7,47,40,87,Zr,-79347.147,8623.6545,-5472.65380859375,914817.338
5,46,41,87,Nb,-73874.493,8551.7579,-6989.67578125,920692.473
3,45,42,87,Mo,-66884.817,8462.4243,-9194.765625,928196.198
1,44,43,87,Tc,-57690.052,8347.7449,-11960.0,938067.185
-1,43,44,87,Ru,-45730.0,8201.0,0.0,950907.0
26,57,31,88,Ga,-22390.0,8050.0,17129.0,975963.0
24,56,32,88,Ge,-39520.0,8236.0,10930.0,957574.0
22,55,33,88,As,-50450.0,8351.0,13434.0,945840.0
20,54,34,88,Se,-63884.203,8495.0045,6831.76416015625,931417.49
18,53,35,88,Br,-70715.967,8563.7479,8975.328125,924083.29
16,52,36,88,Kr,-79691.295,8656.8499,2917.708984375,914447.879
14,51,37,88,Rb,-82609.004,8681.1154,5312.62451171875,911315.59
12,50,38,88,Sr,-87921.62876,8732.5958,-3622.60009765625,905612.253
10,49,39,88,Y,-84299.029,8682.5396,-670.1549072265625,909501.274
8,48,40,88,Zr,-83628.874,8666.0339,-7457.31884765625,910220.715
6,47,41,88,Nb,-76171.555,8572.4013,-3485.002197265625,918226.476
4,46,42,88,Mo,-72686.553,8523.9087,-11016.251953125,921967.779
2,45,43,88,Tc,-61670.301,8389.8338,-7331.0,933794.211
0,44,44,88,Ru,-54340.0,8298.0,-17479.0,941664.0
-2,43,45,88,Rh,-36860.0,8090.0,0.0,960429.0
25,57,32,89,Ge,-33040.0,8161.0,13490.0,964530.0
23,56,33,89,As,-46530.0,8304.0,12462.0,950048.0
21,55,34,89,Se,-58992.398,8435.2799,9281.873046875,936669.058
19,54,35,89,Br,-68274.271,8530.7802,8261.5234375,926704.558
17,53,36,89,Kr,-76535.795,8614.8158,5176.60400390625,917835.449
15,52,37,89,Rb,-81712.399,8664.1895,4496.6279296875,912278.136
13,51,38,89,Sr,-86209.026,8705.923,1502.1756591796875,907450.808
11,50,39,89,Y,-87711.202,8714.011,-2833.228515625,905838.156
9,49,40,89,Zr,-84877.974,8673.3865,-4252.21923828125,908879.751
7,48,41,89,Nb,-80625.755,8616.8184,-5610.810546875,913444.696
5,47,42,89,Mo,-75014.944,8544.9851,-7620.08740234375,919468.149
3,46,43,89,Tc,-67394.857,8450.5758,-9025.4326171875,927648.649
1,45,44,89,Ru,-58369.424,8340.376,-12719.0,937337.849
-1,44,45,89,Rh,-45651.0,8189.0,0.0,950992.0
26,58,32,90,Ge,-28470.0,8109.0,12520.0,969436.0
24,57,33,90,As,-40990.0,8240.0,14810.0,955995.0
22,56,34,90,Se,-55800.223,8395.7672,8200.0830078125,940096.0
20,55,35,90,Br,-64000.306,8478.1865,10958.953125,931292.848
18,54,36,90,Kr,-74959.259,8591.2599,4406.3134765625,919527.929
16,53,37,90,Rb,-79365.573,8631.5262,6585.3720703125,914797.557
14,52,38,90,Sr,-85950.945,8696.0043,545.9674072265625,907727.87
12,51,39,90,Y,-86496.912,8693.3778,2275.635009765625,907141.749
10,50,40,90,Zr,-88772.547,8709.9699,-6111.0166015625,904698.755
8,49,41,90,Nb,-82661.531,8633.377,-2489.0166015625,911259.201
6,48,42,90,Mo,-80172.514,8597.0285,-9447.818359375,913931.27
4,47,43,90,Tc,-70724.696,8483.36,-5840.89501953125,924073.919
2,46,44,90,Ru,-64883.801,8409.7684,-13250.0,930344.378
0,45,45,90,Rh,-51634.0,8254.0,-11924.0,944569.0
-2,44,46,90,Pd,-39710.0,8113.0,0.0,957370.0
25,58,33,91,As,-36500.0,8189.0,14080.0,960816.0
23,57,34,91,Se,-50580.13,8334.8382,10527.171875,945700.0
21,56,35,91,Br,-61107.301,8441.9242,9866.6728515625,934398.617
19,55,36,91,Kr,-70973.974,8541.7519,6771.07470703125,923806.309
17,54,37,91,Rb,-77745.049,8607.5621,5906.90087890625,916537.261
15,53,38,91,Sr,-83651.95,8663.8759,2699.371337890625,910195.942
13,52,39,91,Y,-86351.321,8684.9421,1544.27099609375,907298.048
11,51,40,91,Zr,-87895.592,8693.3149,-1257.564453125,905640.205
9,50,41,91,Nb,-86638.028,8670.8983,-4429.193359375,906990.256
7,49,42,91,Mo,-82208.834,8613.6286,-6222.1767578125,911745.19
5,48,43,91,Tc,-75986.657,8536.6558,-7746.82470703125,918424.972
3,47,44,91,Ru,-68239.833,8442.9287,-9670.0,926741.53
1,46,45,91,Rh,-58570.0,8328.0,-12400.0,937123.0
-1,45,46,91,Pd,-46170.0,8183.0,0.0,950435.0
26,59,33,92,As,-30380.0,8121.0,16344.0,967386.0
24,58,34,92,Se,-46724.0,8290.0,9509.0,949840.0
22,57,35,92,Br,-56232.812,8384.9123,12536.515625,939631.595
20,56,36,92,Kr,-68769.329,8512.675,6003.12109375,926173.092
18,55,37,92,Rb,-74772.45,8569.4225,8094.92138671875,919728.477
16,54,38,92,Sr,-82867.371,8648.907,1949.1236572265625,911038.222
14,53,39,92,Y,-84816.494,8661.5894,3642.529296875,908945.752
12,52,40,92,Zr,-88459.024,8692.6783,-2005.7335205078125,905035.336
10,51,41,92,Nb,-86453.29,8662.3731,355.29681396484375,907188.58
8,50,42,92,Mo,-86808.587,8657.7312,-7882.88427734375,906807.153
6,49,43,92,Tc,-78925.703,8563.544,-4624.4921875,915269.777
4,48,44,92,Ru,-74301.211,8504.774,-11302.115234375,920234.373
2,47,45,92,Rh,-62999.095,8373.4211,-8220.0,932367.692
0,46,46,92,Pd,-54779.095,8275.5695,-17249.0,941192.225
-2,45,47,92,Ag,-37530.0,8080.0,0.0,959710.0
25,59,34,93,Se,-40860.0,8225.0,12030.0,956135.0
23,58,35,93,Br,-52890.235,8345.5986,11245.767578125,943220.0
21,57,36,93,Kr,-64136.002,8458.1085,8483.8974609375,931147.172
19,56,37,93,Rb,-72619.9,8540.9209,7465.943359375,922039.334
17,55,38,93,Sr,-80085.844,8612.7875,4141.31201171875,914024.314
15,54,39,93,Y,-84227.155,8648.9054,2894.872314453125,909578.434
13,53,40,93,Zr,-87122.028,8671.6207,90.81230163574219,906470.661
11,52,41,93,Nb,-87212.84,8664.1849,-405.7608947753906,906373.17
9,51,42,93,Mo,-86807.079,8651.4095,-3200.962890625,906808.772
7,50,43,93,Tc,-83606.116,8608.5782,-6389.39306640625,910245.147
5,49,44,93,Ru,-77216.723,8531.4627,-8204.9140625,917104.442
3,48,45,93,Rh,-69011.81,8434.8255,-10030.0,925912.778
1,47,46,93,Pd,-58981.81,8318.5637,-12582.0,936680.426
-1,46,47,93,Ag,-46400.0,8175.0,0.0,950188.0
26,60,34,94,Se,-36803.0,8180.0,10846.0,960490.0
24,59,35,94,Br,-47650.0,8287.0,13698.0,948846.0
22,58,36,94,Kr,-61347.78,8424.3318,7215.01123046875,934140.452
20,57,37,94,Rb,-68562.791,8492.7644,10282.9296875,926394.819
18,56,38,94,Sr,-78845.721,8593.8344,3505.751708984375,915355.641
16,55,39,94,Y,-82351.473,8622.8068,4917.85888671875,911592.062
14,54,40,94,Zr,-87269.332,8666.8016,-900.2683715820312,906312.523
12,53,41,94,Nb,-86369.063,8648.9014,2045.016357421875,907279.001
10,52,42,94,Mo,-88414.079,8662.3341,-4255.74755859375,905083.586
8,51,43,94,Tc,-84158.332,8608.7373,-1574.7296142578125,909652.319
6,50,44,94,Ru,-82583.602,8583.662,-9675.978515625,911342.86
4,49,45,94,Rh,-72907.623,8472.4033,-6805.3427734375,921730.45
2,48,46,94,Pd,-66102.281,8391.6832,-13700.0,929036.286
0,47,47,94,Ag,-52402.0,8238.0,-11962.0,943744.0
-2,46,48,94,Cd,-40440.0,8102.0,0.0,956586.0
27,61,34,95,Se,-30460.0,8112.0,13390.0,967300.0
25,60,35,95,Br,-43850.0,8245.0,12309.0,952925.0
23,59,36,95,Kr,-56158.92,8365.9963,9731.38671875,939710.922
21,58,37,95,Rb,-65890.307,8460.1967,9226.9775390625,929263.849
19,57,38,95,Sr,-75117.284,8549.0875,6090.65283203125,919358.282
17,56,39,95,Y,-81207.937,8604.9644,4452.0029296875,912819.697
15,55,40,95,Zr,-85659.94,8643.5924,1126.3311767578125,908040.276
13,54,41,95,Nb,-86786.272,8647.2133,925.6008911132812,906831.11
11,53,42,95,Mo,-87711.872,8648.7212,-1690.5174560546875,905837.436
9,52,43,95,Tc,-86021.355,8622.6911,-2563.59619140625,907652.281
7,51,44,95,Ru,-83457.759,8587.4706,-5117.14208984375,910404.415
5,50,45,95,Rh,-78340.616,8525.3707,-8374.703125,915897.893
3,49,46,95,Pd,-69965.913,8428.9807,-10060.0,924888.506
1,48,47,95,Ag,-59906.0,8315.0,-12850.0,935688.0
-1,47,48,95,Cd,-47056.0,8171.0,0.0,949483.0
26,61,35,96,Br,-38210.0,8184.0,14872.0,958980.0
24,60,36,96,Kr,-53081.682,8330.8721,8272.6689453125,943014.473
22,59,37,96,Rb,-61354.351,8408.8963,11563.8974609375,934133.398
20,58,38,96,Sr,-72918.248,8521.2041,5411.73779296875,921719.045
18,57,39,96,Y,-78329.986,8569.4269,7108.8740234375,915909.305
16,56,40,96,Zr,-85438.86,8635.3283,163.97039794921875,908277.615
14,55,41,96,Nb,-85602.83,8628.8868,3192.05908203125,908101.586
12,54,42,96,Mo,-88794.889,8653.988,-2973.2412109375,904674.77
10,53,43,96,Tc,-85821.648,8614.8673,258.7369079589844,907866.675
8,52,44,96,Ru,-86080.385,8609.413,-6392.65283203125,907588.91
6,51,45,96,Rh,-79687.732,8534.6735,-3504.312744140625,914451.705
4,50,46,96,Pd,-76183.42,8490.0207,-11671.7744140625,918213.739
2,49,47,96,Ag,-64511.645,8360.2903,-8940.0,930743.903
0,48,48,96,Cd,-55572.0,8259.0,-17482.0,940341.0
-2,47,49,96,In,-38090.0,8069.0,0.0,959109.0
27,62,35,97,Br,-34000.0,8140.0,13423.0,963499.0
25,61,36,97,Kr,-47423.499,8269.8645,11095.646484375,949088.782
23,60,37,97,Rb,-58519.145,8376.1872,10061.529296875,937177.117
21,59,38,97,Sr,-68580.674,8471.8489,7534.78076171875,926375.621
19,58,39,97,Y,-76115.455,8541.4616,6821.23828125,918286.702
17,57,40,97,Zr,-82936.693,8603.7182,2666.103759765625,910963.802
15,56,41,97,Nb,-85602.797,8623.1384,1941.90380859375,908101.622
13,55,42,97,Mo,-87544.7,8635.0926,-320.2640075683594,906016.903
11,54,43,97,Tc,-87224.436,8623.7254,-1103.8721923828125,906360.72
9,53,44,97,Ru,-86120.564,8604.2799,-3523.0,907545.776
7,52,45,97,Rh,-82597.564,8559.8949,-4791.7119140625,911327.872
5,51,46,97,Pd,-77805.852,8502.4303,-6901.82568359375,916471.985
3,50,47,97,Ag,-70904.027,8423.2121,-10170.0,923881.4
1,49,48,97,Cd,-60734.027,8310.3013,-13344.0,934799.343
-1,48,49,97,In,-47390.0,8165.0,0.0,949125.0
28,63,35,98,Br,-28050.0,8078.0,16070.0,969887.0
26,62,36,98,Kr,-44120.0,8234.0,10249.0,952635.0
24,61,37,98,Rb,-54369.152,8330.7294,12053.236328125,941632.317
22,60,38,98,Sr,-66422.389,8445.7385,5866.35888671875,928692.636
20,59,39,98,Y,-72288.748,8497.6162,8993.009765625,922394.841
18,58,40,98,Zr,-81281.757,8581.3984,2242.854736328125,912740.448
16,57,41,98,Nb,-83524.612,8596.3016,4591.3681640625,910332.645
14,56,42,98,Mo,-88115.98,8635.1691,-1683.766357421875,905403.609
12,55,43,98,Tc,-86432.214,8610.0047,1792.657470703125,907211.206
10,54,44,98,Ru,-88224.871,8620.314,-5049.65283203125,905286.709
8,53,45,98,Rh,-83175.219,8560.8038,-1854.233154296875,910707.734
6,52,46,98,Pd,-81320.985,8533.8999,-8254.560546875,912698.335
4,51,47,98,Ag,-73066.425,8441.6866,-5430.0,921559.97
2,50,48,98,Cd,-67636.425,8378.2953,-13730.0,927389.315
0,49,49,98,In,-53906.0,8230.0,0.0,942129.0
27,63,36,99,Kr,-38400.0,8175.0,12721.0,958776.0
25,62,37,99,Rb,-51121.15,8295.301,11397.376953125,945119.19
23,61,38,99,Sr,-62518.527,8402.5235,8125.20361328125,932883.604
21,60,39,99,Y,-70643.73,8476.6938,6972.93994140625,924160.839
19,59,40,99,Zr,-77616.67,8539.225,4718.673828125,916675.081
17,58,41,99,Nb,-82335.344,8578.9859,3634.76220703125,911609.377
15,57,42,99,Mo,-85970.106,8607.7982,1357.7630615234375,907707.299
13,56,43,99,Tc,-87327.869,8613.6105,297.5155944824219,906249.681
11,55,44,99,Ru,-87625.385,8608.7132,-2040.8631591796875,905930.284
9,54,45,99,Rh,-85584.522,8580.1959,-3401.660400390625,908121.241
7,53,46,99,Pd,-82182.861,8537.9332,-5470.37841796875,911773.073
5,52,47,99,Ag,-76712.483,8474.7744,-6781.35107421875,917645.766
3,51,48,99,Cd,-69931.132,8398.3734,-8555.0,924925.845
1,50,49,99,In,-61376.0,8304.0,-13400.0,934110.0
-1,49,50,99,Sn,-47976.0,8161.0,0.0,948495.0
28,64,36,100,Kr,-34470.0,8134.0,11796.0,962995.0
26,63,37,100,Rb,-46265.884,8244.5085,13551.6201171875,950331.532
24,62,38,100,Sr,-59817.505,8372.2012,7503.736328125,935783.27
22,61,39,100,Y,-67321.241,8439.4151,9051.4951171875,927727.678
20,60,40,100,Zr,-76372.736,8522.1066,3418.509765625,918010.499
18,59,41,100,Nb,-79791.246,8548.4683,6401.78271484375,914340.578
16,58,42,100,Mo,-86193.029,8604.6626,-172.07760620117188,907467.982
14,57,43,100,Tc,-86020.951,8595.1184,3206.440185546875,907652.715
12,56,44,100,Ru,-89227.391,8619.3593,-3636.26123046875,904210.46
10,55,45,100,Rh,-85591.13,8575.1732,-378.45770263671875,908114.147
8,54,46,100,Pd,-85212.672,8563.5652,-7074.703125,908520.438
6,53,47,100,Ag,-78137.969,8484.9947,-3943.3740234375,916115.443
4,52,48,100,Cd,-74194.595,8437.7375,-10016.44921875,920348.829
2,51,49,100,In,-64178.146,8329.7495,-7030.0,931101.929
0,50,50,100,Sn,-57148.146,8251.626,0.0,938648.944
29,65,36,101,Kr,-28580.0,8075.0,13987.0,969318.0
27,64,37,101,Rb,-42567.417,8206.1753,12757.4970703125,954302.0
25,63,38,101,Sr,-55324.914,8324.7411,9729.8720703125,940606.264
23,62,39,101,Y,-65054.787,8413.3305,8106.2001953125,930160.817
21,61,40,101,Zr,-73160.987,8485.8439,5730.5009765625,921458.454
19,60,41,101,Nb,-78891.488,8534.8355,4628.4638671875,915306.508
17,59,42,101,Mo,-83519.952,8572.9159,2824.64111328125,910337.648
15,58,43,101,Tc,-86344.593,8593.1366,1613.52001953125,907305.271
13,57,44,101,Ru,-87958.113,8601.366,-545.6845703125,905573.086
11,56,45,101,Rh,-87412.428,8588.2172,-1980.2833251953125,906158.903
9,55,46,101,Pd,-85432.145,8560.8644,-4097.7607421875,908284.824
7,54,47,101,Ag,-81334.384,8512.5465,-5497.91845703125,912683.951
5,53,48,101,Cd,-75836.466,8450.3657,-7291.56396484375,918586.209
3,52,49,101,In,-68544.901,8370.426,-8239.27734375,926414.025
1,51,50,101,Sn,-60305.624,8281.103,0.0,935259.252
28,65,37,102,Rb,-37252.312,8152.7443,14906.9990234375,960008.0
26,64,38,102,Sr,-52159.311,8291.2213,9013.330078125,944004.679
24,63,39,102,Y,-61172.641,8371.9172,10408.78515625,934328.471
22,62,40,102,Zr,-71581.427,8466.294,4716.837890625,923154.181
20,61,41,102,Nb,-76298.265,8504.8675,7262.6005859375,918090.447
18,60,42,102,Mo,-83560.866,8568.3994,1012.0557250976562,910293.725
16,59,43,102,Tc,-84572.921,8570.6514,4533.51318359375,909207.239
14,58,44,102,Ru,-89106.435,8607.4275,-2323.11865234375,904340.312
12,57,45,102,Rh,-86783.316,8576.9818,1119.64697265625,906834.282
10,56,46,102,Pd,-87902.963,8580.2887,-5656.26171875,905632.292
8,55,47,102,Ag,-82246.702,8517.165,-2587.0,911704.538
6,54,48,102,Cd,-79659.702,8484.1322,-8964.8056640625,914481.797
4,53,49,102,In,-70694.896,8388.5719,-5760.0,924105.911
2,52,50,102,Sn,-64934.896,8324.4313,-13835.0,930289.525
0,51,51,102,Sb,-51100.0,8181.0,0.0,945142.0
29,66,37,103,Rb,-33160.0,8112.0,14120.0,964401.0
27,65,38,103,Sr,-47280.0,8242.0,11177.0,949243.0
25,64,39,103,Y,-58457.034,8342.6336,9351.9599609375,937243.796
23,63,40,103,Zr,-67808.993,8425.8337,7219.673828125,927204.054
21,62,41,103,Nb,-75028.667,8488.332,5925.6640625,919453.416
19,61,42,103,Mo,-80954.331,8538.2672,3649.5888671875,913091.954
17,60,43,103,Tc,-84603.92,8566.1045,2663.247314453125,909173.96
15,59,44,103,Ru,-87267.168,8584.3656,764.5377807617188,906314.846
13,58,45,103,Rh,-88031.705,8584.1927,-574.7252197265625,905494.081
11,57,46,103,Pd,-87456.98,8571.0173,-2654.27783203125,906111.074
9,56,47,103,Ag,-84802.702,8537.652,-4151.076171875,908960.558
7,55,48,103,Cd,-80651.626,8489.7547,-6019.2294921875,913416.922
5,54,49,103,In,-74632.397,8423.7199,-7540.0,919878.83
3,53,50,103,Sn,-67092.0,8343.0,-10422.0,927973.0
1,52,51,103,Sb,-56670.0,8234.0,0.0,939162.0
30,67,37,104,Rb,-27450.0,8057.0,16310.0,970531.0
28,66,38,104,Sr,-43760.0,8206.0,10320.0,953022.0
26,65,39,104,Y,-54080.0,8298.0,11638.0,941943.0
24,64,40,104,Zr,-65717.66,8402.3159,6093.3369140625,929449.193
22,63,41,104,Nb,-71810.997,8453.3832,8532.7509765625,922907.728
20,62,42,104,Mo,-80343.748,8527.9063,2155.22119140625,913747.443
18,61,43,104,Tc,-82498.969,8541.107,5596.79443359375,911433.718
16,60,44,104,Ru,-88095.763,8587.3998,-1136.4195556640625,905425.312
14,59,45,104,Rh,-86959.344,8568.9501,2435.77880859375,906645.309
12,58,46,104,Pd,-89395.123,8584.8485,-4278.65283203125,904030.393
10,57,47,104,Ag,-85116.47,8536.185,-1148.0787353515625,908623.715
8,56,48,104,Cd,-83968.391,8517.6232,-7785.716796875,909856.228
6,55,49,104,In,-76182.675,8435.238,-4555.6171875,918214.538
4,54,50,104,Sn,-71627.057,8383.9114,-12332.0,923105.195
2,53,51,104,Sb,-59295.0,8258.0,-9668.0,936344.0
0,52,52,104,Te,-49626.831,8157.3256,0.0,946723.408
29,67,38,105,Sr,-38190.0,8152.0,12380.0,959001.0
27,66,39,105,Y,-50570.0,8262.0,10888.0,945711.0
25,65,40,105,Zr,-61458.274,8358.598,8457.2724609375,934021.832
23,64,41,105,Nb,-69915.547,8431.6925,7415.2412109375,924942.577
21,63,42,105,Mo,-77330.788,8494.863,4955.515625,916981.989
19,62,43,105,Tc,-82286.303,8534.6074,3648.239501953125,911662.024
17,61,44,105,Ru,-85934.543,8561.9016,1916.72705078125,907745.478
15,60,45,105,Rh,-87851.27,8572.7053,566.6347045898438,905687.787
13,59,46,105,Pd,-88417.905,8570.6509,-1347.056396484375,905079.479
11,58,47,105,Ag,-87070.848,8550.3708,-2736.998779296875,906525.604
9,57,48,105,Cd,-84333.849,8516.8532,-4693.26708984375,909463.893
7,56,49,105,In,-79640.582,8464.7045,-6302.58056640625,914502.322
5,55,50,105,Sn,-73338.001,8397.229,-9322.5107421875,921268.421
3,54,51,105,Sb,-64015.491,8300.9923,-11203.982421875,931276.547
1,53,52,105,Te,-52811.509,8186.8368,0.0,943304.516
30,68,38,106,Sr,-34300.0,8114.0,11490.0,963177.0
28,67,39,106,Y,-45790.0,8215.0,12959.0,950842.0
26,66,40,106,Zr,-58749.0,8330.0,7453.0,936930.0
24,65,41,106,Nb,-66202.678,8393.2657,9925.3251953125,928928.505
22,64,42,106,Mo,-76128.003,8479.5202,3648.24951171875,918273.231
20,63,43,106,Tc,-79776.253,8506.557,6547.0,914356.674
18,62,44,106,Ru,-86323.253,8560.9406,39.40380096435547,907328.181
16,61,45,106,Rh,-86362.656,8553.9317,3544.886474609375,907285.879
14,60,46,106,Pd,-89907.543,8579.9934,-2965.143310546875,903480.287
12,59,47,106,Ag,-86942.399,8544.6397,189.75340270996094,906663.499
10,58,48,106,Cd,-87132.153,8539.0492,-6524.0029296875,906459.791
8,57,49,106,In,-80608.15,8470.1213,-3254.4521484375,913463.596
6,56,50,106,Sn,-77353.698,8432.0383,-10880.396484375,916957.394
4,55,51,106,Sb,-66473.301,8322.0124,-8253.5419921875,928637.979
2,54,52,106,Te,-58219.759,8236.7682,-14920.0,937498.521
0,53,53,106,I,-43300.0,8089.0,0.0,953516.0
31,69,38,107,Sr,-28250.0,8057.0,13720.0,969672.0
29,68,39,107,Y,-41970.0,8178.0,12050.0,954943.0
27,67,40,107,Zr,-54020.0,8284.0,9704.0,942007.0
25,66,41,107,Nb,-63723.805,8367.0898,8821.169921875,931589.685
23,65,42,107,Mo,-72544.975,8442.219,6204.9921875,922119.77
21,64,43,107,Tc,-78749.967,8492.8979,5112.5986328125,915458.437
19,63,44,107,Ru,-83862.565,8533.3676,3001.145751953125,909969.837
17,62,45,107,Rh,-86863.711,8554.104,1508.9427490234375,906747.975
15,61,46,107,Pd,-88372.654,8560.8946,34.045799255371094,905128.058
13,60,47,107,Ag,-88406.7,8553.9012,-1416.3741455078125,905091.509
11,59,48,107,Cd,-86990.325,8533.3524,-3423.65869140625,906612.049
9,58,49,107,In,-83566.667,8494.0439,-5054.42822265625,910287.497
7,57,50,107,Sn,-78512.239,8439.4946,-7858.990234375,915713.649
5,56,51,107,Sb,-70653.248,8358.7344,-9996.0,924150.621
3,55,52,107,Te,-60657.0,8258.0,-11227.0,934882.0
1,54,53,107,I,-49430.0,8146.0,0.0,946935.0
30,69,39,108,Y,-36780.0,8129.0,14170.0,960515.0
28,68,40,108,Zr,-50950.0,8253.0,8595.0,945303.0
26,67,41,108,Nb,-59545.198,8325.6604,11204.099609375,936075.604
24,66,42,108,Mo,-70749.297,8422.1581,5173.533203125,924047.508
22,65,43,108,Tc,-75922.831,8462.8172,7738.57373046875,918493.493
20,64,44,108,Ru,-83661.404,8527.2267,1369.751708984375,910185.793
18,63,45,108,Rh,-85031.156,8532.6657,4493.0595703125,908715.304
16,62,46,108,Pd,-89524.215,8567.0241,-1917.423828125,903891.806
14,61,47,108,Ag,-87606.792,8542.0262,1645.631103515625,905950.245
12,60,48,108,Cd,-89252.423,8550.0196,-5132.59423828125,904183.588
10,59,49,108,In,-84119.828,8495.2516,-2049.87939453125,909693.654
8,58,50,108,Sn,-82069.949,8469.0273,-9624.607421875,911894.29
6,57,51,108,Sb,-72445.341,8372.6666,-6663.66455078125,922226.731
4,56,52,108,Te,-65781.676,8303.7221,-13011.0,929380.469
2,55,53,108,I,-52771.0,8176.0,-10139.0,943348.0
0,54,54,108,Xe,-42632.357,8074.8886,0.0,954232.285
31,70,39,109,Y,-32480.0,8089.0,13250.0,965131.0
29,69,40,109,Zr,-45730.0,8204.0,10960.0,950907.0
27,68,41,109,Nb,-56689.8,8297.1307,9969.4853515625,939141.0
25,67,42,109,Mo,-66659.285,8381.4163,7623.5439453125,928438.318
23,66,43,109,Tc,-74282.828,8444.1796,6455.62646484375,920254.107
21,65,44,109,Ru,-80738.455,8496.228,4260.7958984375,913323.707
19,64,45,109,Rh,-84999.251,8528.1404,2607.232666015625,908749.555
17,63,46,109,Pd,-87606.484,8544.8825,1112.9468994140625,905950.576
15,62,47,109,Ag,-88719.431,8547.9155,-215.10020446777344,904755.778
13,61,48,109,Cd,-88504.33,8538.7646,-2014.8046875,904986.697
11,60,49,109,In,-86489.526,8513.1027,-3859.34521484375,907149.679
9,59,50,109,Sn,-82630.18,8470.5183,-6379.19384765625,911292.857
7,58,51,109,Sb,-76250.986,8404.8161,-8535.5869140625,918141.203
5,57,52,109,Te,-67715.399,8319.3305,-10042.89453125,927304.532
3,56,53,109,I,-57672.505,8220.0164,-11502.958984375,938086.022
1,55,54,109,Xe,-46169.546,8107.3071,0.0,950434.955
30,70,40,110,Zr,-42220.0,8171.0,10090.0,954675.0
28,69,41,110,Nb,-52309.914,8255.2607,12225.900390625,943843.0
26,68,42,110,Mo,-64535.814,8359.293,6498.7490234375,930717.956
24,67,43,110,Tc,-71034.564,8411.2603,9038.0654296875,923741.263
22,66,44,110,Ru,-80072.629,8486.3123,2756.063720703125,914038.501
20,65,45,110,Rh,-82828.693,8504.2551,5502.21142578125,911079.745
18,64,46,110,Pd,-88330.904,8547.163,-873.5982055664062,905172.878
16,63,47,110,Ag,-87457.306,8532.1089,2890.663330078125,906110.724
14,62,48,110,Cd,-90347.969,8551.2755,-3878.0,903007.47
12,61,49,110,In,-86469.969,8508.9087,-627.9769287109375,907170.674
10,60,50,110,Sn,-85841.993,8496.0875,-8392.248046875,907844.835
8,59,51,110,Sb,-77449.745,8412.6821,-5219.923828125,916854.283
6,58,52,110,Te,-72229.821,8358.116,-11761.9765625,922458.102
4,57,53,110,I,-60467.844,8244.0767,-8545.20703125,935085.102
2,56,54,110,Xe,-51922.636,8159.2808,0.0,944258.759
31,71,40,111,Zr,-36480.0,8118.0,12480.0,960837.0
29,70,41,111,Nb,-48960.0,8223.0,10980.0,947439.0
27,69,42,111,Mo,-59939.813,8315.2932,9084.8623046875,935651.966
25,68,43,111,Tc,-69024.675,8390.0906,7760.64990234375,925898.966
23,67,44,111,Ru,-76785.325,8452.9582,5518.54541015625,917567.566
21,66,45,111,Rh,-82303.871,8495.6267,3682.015380859375,911643.164
19,65,46,111,Pd,-85985.886,8521.7498,2229.560791015625,907690.358
17,64,47,111,Ag,-88215.447,8534.7878,1036.800048828125,905296.827
15,63,48,111,Cd,-89252.247,8537.0801,-860.1972045898438,904183.776
13,62,49,111,In,-88392.05,8522.2824,-2453.46923828125,905107.236
11,61,50,111,Sn,-85938.581,8493.131,-5101.833984375,907741.143
9,60,51,111,Sb,-80836.747,8440.1203,-7249.259765625,913218.187
7,59,52,111,Te,-73587.487,8367.7635,-8633.6923828125,921000.587
5,58,53,111,I,-64953.795,8282.9343,-10434.0,930269.236
3,57,54,111,Xe,-54520.0,8182.0,-11620.0,941470.0
1,56,55,111,Cs,-42900.0,8070.0,0.0,953945.0
32,72,40,112,Zr,-32420.0,8081.0,11650.0,965196.0
30,71,41,112,Nb,-44070.0,8178.0,13410.0,952689.0
28,70,42,112,Mo,-57480.0,8291.0,7779.0,938293.0
26,69,43,112,Tc,-65258.932,8353.6217,10371.9404296875,929941.658
24,68,44,112,Ru,-75630.873,8439.2431,4100.17919921875,918806.922
22,67,45,112,Rh,-79731.052,8468.8666,6589.9873046875,914405.199
20,66,46,112,Pd,-86321.039,8520.7205,262.689697265625,907330.557
18,65,47,112,Ag,-86583.729,8516.0807,3991.12841796875,907048.548
16,64,48,112,Cd,-90574.857,8544.7306,-2584.730712890625,902763.896
14,63,49,112,In,-87990.127,8514.6674,664.9224243164062,905538.718
12,62,50,112,Sn,-88655.049,8513.6189,-7056.076171875,904824.894
10,61,51,112,Sb,-81598.973,8443.633,-4031.455078125,912399.903
8,60,52,112,Te,-77567.518,8400.6527,-10504.1796875,916727.848
6,59,53,112,I,-67063.339,8299.8801,-7036.9912109375,928004.548
4,58,54,112,Xe,-60026.348,8230.0646,-13612.0,935559.068
2,57,55,112,Cs,-46415.0,8102.0,0.0,950172.0
33,73,40,113,Zr,-26340.0,8027.0,13870.0,971723.0
31,72,41,113,Nb,-40210.0,8143.0,12440.0,956833.0
29,71,42,113,Mo,-52650.0,8246.0,10162.0,943478.0
