NmZ,N,Z,A,El,Mass_Excess,Binding_Energy,Beta_decay_Energy,AMU
17,37,20,57,Ca,-6560.0,7912.0,14820.0,992958.0
15,36,21,57,Sc,-21379.653,8158.1666,13022.1953125,977048.0
13,35,22,57,Ti,-34401.848,8372.9008,10033.21484375,963068.098
11,34,23,57,V,-44435.063,8535.1967,8089.92138671875,952297.0
9,33,24,57,Cr,-52524.985,8663.3998,4961.29443359375,943612.112
7,32,25,57,Mn,-57486.279,8736.7146,2695.737548828125,938285.944
5,31,26,57,Fe,-60182.017,8770.2829,-836.35888671875,935391.95
3,30,27,57,Co,-59345.658,8741.8845,-3261.697021484375,936289.819
1,29,28,57,Ni,-56083.961,8670.9364,-8774.9462890625,939791.394
-1,28,29,57,Cu,-47309.014,8503.2646,-14759.0,949211.686
-3,27,30,57,Zn,-32550.0,8231.0,-17140.0,965056.0
-5,26,31,57,Ga,-15410.0,7916.0,0.0,983457.0
20,39,19,58,K,21930.0,7437.0,23461.0,23543.0
18,38,20,58,Ca,-1530.0,7828.0,13949.0,998357.0
16,37,21,58,Sc,-15479.569,8054.9436,15438.099609375,983382.0
14,36,22,58,Ti,-30917.668,8307.629,9512.9150390625,966808.519
12,35,23,58,V,-40430.584,8458.156,11561.2236328125,956595.985
10,34,24,58,Cr,-51991.808,8643.9987,3835.7607421875,944184.501
8,33,25,58,Mn,-55827.568,8696.6438,6327.70263671875,940066.643
6,32,26,58,Fe,-62155.271,8792.2534,-2307.978515625,933273.575
4,31,27,58,Co,-59847.292,8738.9719,381.5788879394531,935751.292
2,30,28,58,Ni,-60228.871,8732.0621,-8561.0205078125,935341.65
0,29,29,58,Cu,-51667.851,8570.9696,-9368.9794921875,944532.283
-2,28,30,58,Zn,-42298.871,8395.9467,-18759.0,954590.296
-4,27,31,58,Ga,-23540.0,8059.0,-15960.0,974729.0
-6,26,32,58,Ge,-7580.0,7770.0,0.0,991863.0
21,40,19,59,K,28750.0,7332.0,22940.0,30864.0
19,39,20,59,Ca,5810.0,7708.0,16639.0,6237.0
17,38,21,59,Sc,-10829.55,7976.4073,15050.0,988374.0
15,37,22,59,Ti,-25880.0,8218.0,11731.0,972217.0
13,36,23,59,V,-37610.617,8403.8034,10505.3134765625,959623.343
11,35,24,59,Cr,-48115.931,8568.5995,7409.3974609375,948345.426
9,34,25,59,Mn,-55525.328,8680.9224,5139.62890625,940391.111
7,33,26,59,Fe,-60664.957,8754.7746,1564.88037109375,934873.492
5,32,27,59,Co,-62229.838,8768.0379,-1073.0050048828125,933193.524
3,31,28,59,Ni,-61156.833,8736.5912,-4798.37841796875,934345.442
1,30,29,59,Cu,-56358.454,8642.0027,-9142.7763671875,939496.713
-1,29,30,59,Zn,-47215.678,8473.7802,-13456.0,949311.886
-3,28,31,59,Ga,-33760.0,8232.0,-17390.0,963757.0
-5,27,32,59,Ge,-16370.0,7924.0,0.0,982426.0
20,40,20,60,Ca,11000.0,7627.0,15550.0,11809.0
18,39,21,60,Sc,-4550.0,7873.0,17549.0,995115.0
16,38,22,60,Ti,-22099.698,8152.7858,10987.7041015625,976275.0
14,37,23,60,V,-33087.402,8322.8751,13821.0986328125,964479.215
12,36,24,60,Cr,-46908.5,8540.1876,6059.44580078125,949641.656
10,35,25,60,Mn,-52967.946,8628.1392,8445.228515625,943136.574
8,34,26,60,Fe,-61413.174,8755.8539,237.2633056640625,934070.249
6,33,27,60,Co,-61650.437,8746.7692,2822.805908203125,933815.536
4,32,28,60,Ni,-64473.243,8780.7769,-6127.98095703125,930785.129
2,31,29,60,Cu,-58345.262,8665.6047,-4170.7919921875,937363.787
0,30,30,60,Zn,-54174.47,8583.0524,-14584.0,941841.317
-2,29,31,60,Ga,-39590.0,8327.0,-12060.0,957498.0
-4,28,32,60,Ge,-27530.0,8113.0,-21890.0,970445.0
-6,27,33,60,As,-5640.0,7735.0,0.0,993945.0
21,41,20,61,Ca,19010.0,7503.0,18510.0,20408.0
19,40,21,61,Sc,500.0,7794.0,16870.0,537.0
17,39,22,61,Ti,-16370.0,8058.0,13807.0,982426.0
15,38,23,61,V,-30177.121,8271.0417,12319.380859375,967603.529
13,37,24,61,Cr,-42496.502,8460.1734,9245.6279296875,954378.13
11,36,25,61,Mn,-51742.13,8598.9157,7178.373046875,944452.541
9,35,26,61,Fe,-58920.503,8703.7686,3977.67578125,936746.241
7,34,27,61,Co,-62898.179,8756.151,1323.850341796875,932476.031
5,33,28,61,Ni,-64222.029,8765.0281,-2237.96630859375,931054.819
3,32,29,61,Cu,-61984.063,8715.5148,-5635.15673828125,933457.375
1,31,30,61,Zn,-56348.906,8610.3098,-9214.244140625,939506.964
-1,30,31,61,Ga,-47134.662,8446.4313,-13345.0,949398.861
-3,29,32,61,Ge,-33790.0,8215.0,-16590.0,963725.0
-5,28,33,61,As,-17200.0,7930.0,0.0,981535.0
20,41,21,62,Sc,7310.0,7688.0,19510.0,7848.0
18,40,22,62,Ti,-12200.0,7990.0,13013.0,986903.0
16,39,23,62,V,-25213.164,8187.7565,15639.4482421875,972932.556
14,38,24,62,Cr,-40852.611,8427.3871,7671.35302734375,956142.92
12,37,25,62,Mn,-48523.965,8538.5002,10354.091796875,947907.384
10,36,26,62,Fe,-58878.057,8692.8831,2546.3427734375,936791.809
8,35,27,62,Co,-61424.399,8721.3347,5322.04052734375,934058.198
6,34,28,62,Ni,-66746.44,8794.5555,-3958.896484375,928344.753
4,33,29,62,Cu,-62787.543,8718.0839,-1619.454833984375,932594.803
2,32,30,62,Zn,-61168.088,8679.3451,-9181.06640625,934333.359
0,31,31,62,Ga,-51987.022,8518.6449,-9847.0,944189.639
-2,30,32,62,Ge,-42140.0,8347.0,-17720.0,954761.0
-4,29,33,62,As,-24420.0,8049.0,0.0,973784.0
21,42,21,63,Sc,13070.0,7603.0,18930.0,14031.0
19,41,22,63,Ti,-5860.0,7891.0,15880.0,993709.0
17,40,23,63,V,-21740.141,8130.7809,14438.158203125,976661.0
15,39,24,63,Cr,-36178.299,8347.5398,10708.7607421875,961161.0
